accidentNumber,eventDate,city,state,latitude,longitude,injuryServerity,model,fatalNum,seriousNum,minorNum,uninjuredNum
ERA14FA115,02/08/2014,Panacea,FL,29.989444,-84.391111,Fatal(2),R44 II,2,1,0,0
WPR14LA113,02/05/2014,Bountiful,UT,40.877778,-111.821667,Non-Fatal,206 - B,0,0,0,2
ERA14TA113,02/03/2014,Naples,FL,26.152222,-81.777223,Non-Fatal,369D,0,0,0,2
ERA14FA112,02/03/2014,Bellevue,TN,36.041666,-86.938333,Fatal(4),690C,4,0,0,0
CEN14LA129,02/03/2014,Elk City,OK,35.465278,-99.394722,Non-Fatal,525,0,0,0,7
ERA14LA111,02/02/2014,Ft. Lauderdale,FL,26.078056,-80.1425,Non-Fatal,35A,0,1,0,2
CEN14TA126,01/29/2014,Fort Carson,CO,38.678611,-104.755,Non-Fatal,DA 20 C1,0,0,2,0
ERA14LA107,01/28/2014,West Palm Beach,FL,26.683056,-80.095555,Non-Fatal,PA-34,0,0,0,2
WPR14LA102,01/27/2014,Columbia,CA,38.029445,-120.413333,Non-Fatal,C90,0,0,0,2
CEN14FA122,01/27/2014,Silt,CO,39.521389,-107.660833,Fatal(3),206L 3,3,0,0,0
WPR14LA112,01/26/2014,Stanwood,WA,48.140833,-122.296944,Non-Fatal,SEAREY,0,0,0,2
WPR14LA104,01/25/2014,Chehalis,WA,46.676945,-122.982778,Non-Fatal,AMPHIBEOUS TRIKE,0,0,0,1
CEN14CA123,01/25/2014,Boulder,CO,40.039166,-105.216945,Non-Fatal,172N,0,0,3,0
CEN14LA120,01/23/2014,Ashland,MO,38.773334,-92.2825,Non-Fatal,414A,0,0,0,3
CEN14CA119,01/23/2014,Tulsa,OK,36.039444,-95.984444,Non-Fatal,PA46 500TP,0,0,0,3
ERA14LA101,01/21/2014,Titusville,FL,28.5325,-80.901667,Non-Fatal,269C 1,0,0,0,2
ERA14LA099,01/21/2014,Pell City,AL,33.565278,-86.303333,Non-Fatal,47D1,0,0,2,0
WPR14LA100,01/20/2014,Poulsbo,WA,47.747222,-122.605,Non-Fatal,415 C,0,1,0,0
WPR14LA099B,01/17/2014,San Jose,CA,37.336389,-121.821667,Non-Fatal,172N,0,0,0,3
WPR14LA099A,01/17/2014,San Jose,CA,37.336389,-121.821667,Non-Fatal,PA 24-250,0,0,0,3
CEN14TA116,01/16/2014,Spring,TX,30.061944,-95.552778,Non-Fatal,MTOSPORT,0,0,2,0
ERA14FA093,01/15/2014,Holland,NJ,40.579167,-75.138889,Fatal(1),8KCAB,1,0,0,0
ERA14LA098,01/14/2014,Savannah,GA,32.1275,-81.202222,Non-Fatal,GULFSTREAM 200,0,0,0,2
DCA14IA037,01/12/2014,Branson,MO,36.625834,-93.228889,Incident,737 7H4,0,0,0,131
CEN14GA109,01/10/2014,Falfurrias,TX,27.036944,-98.168611,Non-Fatal,AS350B3,0,1,2,0
CEN14FA110,01/10/2014,Waterford,MI,42.664444,83.442777,Fatal(1),310R,1,0,0,0
CEN14CA108,01/09/2014,Beaumont,TX,30.074445,-94.218611,Non-Fatal,R22 BETA,0,0,0,2
CEN14FA102,01/06/2014,Boyne City,MI,45.208611,-84.960556,Fatal(2),M20R,2,0,0,0
CEN14FA099,01/05/2014,Aspen,CO,39.221945,-106.868334,Fatal(1),CL 600 2B16,1,2,0,0
CEN14CA104,01/05/2014,Cotulla,TX,28.456667,-99.218334,Non-Fatal,172P,0,0,0,2
ERA14LA089,01/04/2014,Canton,GA,34.230834,-84.295277,Non-Fatal,FK9 ELA SW,0,0,0,2
ERA14LA086,01/04/2014,Buckhannon,WV,38.998889,-80.253333,Non-Fatal,SR22,0,0,1,0
ERA14LA085,01/04/2014,Bronx,NY,40.880278,-73.901944,Non-Fatal,PA-28-180,0,0,0,3
CEN14LA112,01/03/2014,Forsyth,MO,36.6825,-93.104444,Non-Fatal,PA-22-108,0,0,0,2
WPR14LA084,01/01/2014,Boulder City,NV,35.946944,-114.86,Non-Fatal,EC 130 B4,0,0,0,1
ERA14LA084,01/01/2014,Fryeburg,ME,43.988055,-70.941944,Fatal(1),A36,1,0,0,0
WPR14LA080,12/29/2013,Pacoima,CA,34.258333,-118.414167,Non-Fatal,172N,0,0,2,0
ERA14CA080,12/28/2013,White Plains,NY,41.066945,-73.7075,Non-Fatal,269C,0,0,1,1
WPR14LA079,12/27/2013,Lodi,CA,38.148889,-121.079723,Non-Fatal,108 1,0,0,0,2
ERA14CA082,12/27/2013,Littleton,NC,36.430834,-77.9125,Non-Fatal,182H,0,0,0,1
WPR14FA078,12/26/2013,Fresno,CA,36.734166,-119.826667,Fatal(2),172K,2,0,0,0
ERA14FA077,12/26/2013,Biglerville,PA,39.941944,77.221111,Fatal(1),PA-30,1,0,0,0
CEN14CA092,12/20/2013,Guymon,OK,36.684722,-101.508056,Non-Fatal,210E,0,0,1,2
ERA14LA076,12/19/2013,Tampa,FL,27.994722,-82.542222,Non-Fatal,210N,0,1,0,0
WPR14LA071,12/18/2013,Los Angeles,CA,34.259167,-118.413333,Non-Fatal,PA 32-301,0,0,0,2
ERA14FA075,12/18/2013,Chatlottesville,VA,38.157222,-78.392222,Fatal(1),A36TC,1,0,0,0
ERA14FA074,12/18/2013,Panama City,FL,30.101944,-85.462222,Fatal(1),G36,1,0,0,0
ERA14FA073,12/17/2013,Atlanta,GA,33.821667,84.469167,Fatal(2),390,2,0,0,0
CEN14LA091,12/17/2013,Palestine,TX,31.788611,-95.706389,Non-Fatal,Unknown,0,1,0,0
CEN14LA089,12/17/2013,Hondo,TX,29.359167,-99.1775,Non-Fatal,305C (0 1E),0,0,1,1
ERA14LA072,12/16/2013,Burlington,NC,36.048889,-79.474167,Non-Fatal,182,0,0,0,2
CEN14LA087,12/16/2013,Leakey,TX,29,99,Non-Fatal,ZENITH 601XL(B),0,1,0,0
ANC14LA011,12/15/2013,Bethel,AK,60.782223,-161.85,Non-Fatal,172M,0,0,0,1
ERA14CA081,12/13/2013,Farmingdale,NJ,40.185277,74.121389,Non-Fatal,172N,0,0,0,1
CEN14CA088,12/13/2013,Bowling Green,OH,41.390833,-83.793889,Non-Fatal,PA 28R-200,0,0,0,1
CEN14FA084,12/12/2013,Collbran,CO,39.366945,-107.374167,Fatal(3),PA 24-250,3,0,0,0
WPR14FA068,12/11/2013,Kalaupapa,HI,21.216667,-156.983334,Fatal(1),208B,1,3,5,0
CEN14LA086,12/11/2013,Oscoda,MI,44.451667,83.394166,Non-Fatal,PA-22-108,0,0,0,1
CEN14IA085,12/11/2013,Eau Claire,WI,44,-91,Incident,E90,0,0,0,1
CEN14LA081,12/10/2013,Hammond,LA,30.591389,-90.286944,Non-Fatal,112,0,0,0,2
WPR14LA065,12/09/2013,Chandler,AZ,33.268889,111.811111,Non-Fatal,S 2C,0,0,0,2
WPR14LA062,12/09/2013,Chowchilla,CA,37.098055,-120.110833,Non-Fatal,UH 12E,0,0,1,0
ERA14FA068,12/08/2013,Jacksonville,FL,30.319723,-81.514167,Fatal(3),310R,3,0,0,0
CEN14LA080,12/07/2013,Albuquerque,NM,35.040277,-106.609167,Non-Fatal,PA46 500TP,0,0,0,1
CEN14CA078,12/07/2013,Columbia Station,OH,41.318889,-81.960278,Non-Fatal,152,0,0,0,2
ERA14FA066,12/06/2013,Sebring,FL,27.463333,-81.366667,Fatal(1),M74L,1,0,0,0
CEN14CA082,12/05/2013,Port Fourchon,LA,29.929723,-90.353889,Non-Fatal,S 76B,0,0,0,10
CEN14LA079,12/04/2013,Jeromesville,OH,40.804167,-82.195833,Non-Fatal,SPARROW II,0,1,0,0
ERA14MA060,12/02/2013,La Alianza,PR,18.384444,-66.588333,Fatal(2),SA227AC,2,0,0,0
ERA14LA059,12/02/2013,Trenton,SC,33.736944,-81.818611,Non-Fatal,PT2,0,0,1,0
